iter	Passed	Remaining
842	12759	32647
843	12772	32628
844	12788	32613
845	12802	32596
846	12818	32582
847	12836	32576
848	12854	32567
849	12870	32555
850	12886	32541
851	12903	32530
852	12917	32513
853	12930	32492
854	12944	32473
855	12958	32456
856	12974	32443
857	12987	32423
858	13002	32406
859	13017	32393
860	13032	32376
861	13046	32358
862	13059	32339
863	13074	32323
864	13088	32305
865	13104	32292
866	13118	32274
867	13131	32254
868	13155	32259
869	13168	32240
870	13182	32221
871	13195	32201
872	13209	32183
873	13222	32164
874	13237	32147
875	13250	32127
876	13262	32106
877	13275	32084
878	13288	32064
879	13303	32048
880	13316	32030
881	13331	32013
882	13346	31998
883	13359	31979
884	13374	31961
885	13390	31950
886	13406	31936
887	13419	31916
888	13435	31902
889	13448	31883
890	13463	31868
891	13477	31851
892	13491	31832
893	13505	31815
894	13520	31800
895	13535	31785
896	13552	31773
897	13567	31757
898	13582	31741
899	13595	31723
900	13611	31708
901	13627	31696
902	13640	31677
903	13655	31660
904	13668	31642
905	13682	31624
906	13697	31607
907	13710	31589
908	13727	31577
909	13742	31563
910	13760	31552
911	13773	31534
912	13789	31519
913	13802	31500
914	13818	31488
915	13833	31473
916	13848	31458
917	13863	31441
918	13877	31423
919	13892	31409
920	13906	31392
921	13921	31376
922	13935	31358
923	13951	31344
924	13964	31325
925	13977	31306
926	13994	31295
927	14009	31280
928	14024	31265
929	14043	31257
930	14058	31242
931	14074	31229
932	14089	31213
933	14102	31195
934	14117	31178
935	14131	31160
936	14144	31143
937	14157	31122
938	14170	31101
939	14182	31079
940	14195	31060
941	14211	31047
942	14227	31035
943	14240	31015
944	14255	30999
945	14267	30978
946	14282	30963
947	14295	30943
948	14309	30925
949	14322	30905
950	14334	30885
951	14348	30867
952	14362	30849
953	14375	30829
954	14387	30808
955	14401	30791
956	14414	30771
957	14429	30756
958	14441	30736
959	14454	30716
960	14469	30699
961	14481	30679
962	14494	30660
963	14507	30641
964	14519	30619
965	14534	30604
966	14549	30588
967	14561	30568
968	14574	30548
969	14587	30528
970	14611	30531
971	14625	30515
972	14642	30504
973	14656	30487
974	14670	30468
975	14682	30448
976	14694	30427
977	14706	30405
978	14718	30383
979	14730	30363
980	14744	30346
981	14756	30325
982	14769	30305
983	14782	30286
984	14793	30262
985	14806	30243
986	14820	30225
987	14833	30208
988	14851	30197
989	14866	30183
990	14880	30165
991	14893	30147
992	14906	30128
993	14921	30113
994	14936	30098
995	14949	30078
996	14962	30060
997	14975	30040
998	14987	30020
999	15001	30002
1000	15015	29985
1001	15029	29969
1002	15044	29954
1003	15061	29943
1004	15078	29931
1005	15093	29916
1006	15107	29899
1007	15120	29880
1008	15132	29860
1009	15144	29839
1010	15157	29820
1011	15170	29801
1012	15184	29784
1013	15197	29766
1014	15210	29747
1015	15223	29727
1016	15236	29708
1017	15248	29688
1018	15261	29669
1019	15274	29651
1020	15289	29636
1021	15302	29616
1022	15315	29598
1023	15327	29577
1024	15341	29560
1025	15354	29542
1026	15368	29525
1027	15381	29506
1028	15394	29488
1029	15408	29469
1030	15423	29455
1031	15438	29440
1032	15450	29420
1033	15465	29404
1034	15483	29396
1035	15499	29383
1036	15513	29367
1037	15527	29349
1038	15541	29333
1039	15555	29315
1040	15569	29299
1041	15584	29284
1042	15597	29265
1043	15610	29248
1044	15686	29347
1045	15705	29338
1046	15722	29327
1047	15737	29313
1048	15753	29299
1049	15767	29282
1050	15782	29267
1051	15796	29249
1052	15809	29231
1053	15824	29215
1054	15837	29198
1055	15850	29179
1056	15863	29160
1057	15876	29141
1058	15890	29125
1059	15902	29105
1060	15915	29086
1061	15930	29070
1062	15945	29056
1063	15962	29044
1064	15977	29029
1065	15991	29013
1066	16007	28999
1067	16020	28980
1068	16034	28963
1069	16048	28947
1070	16063	28932
1071	16077	28916
1072	16091	28899
1073	16106	28884
1074	16120	28866
1075	16133	28848
1076	16146	28829
1077	16161	28813
1078	16174	28795
1079	16187	28778
1080	16201	28761
1081	16216	28745
1082	16229	28727
1083	16243	28710
1084	16257	28693
1085	16270	28675
1086	16283	28657
1087	16295	28636
1088	16309	28619
1089	16389	28720
1090	16413	28720
1091	16430	28707
1092	16443	28690
1093	16456	28671
1094	16470	28654
1095	16483	28636
1096	16496	28617
1097	16511	28601
1098	16523	28581
1099	16538	28566
1100	16553	28551
1101	16567	28534
1102	16581	28518
1103	16595	28501
1104	16610	28485
1105	16627	28474
1106	16641	28458
1107	16655	28440
1108	16669	28424
1109	16685	28410
1110	16698	28392
1111	16711	28374
1112	16725	28356
1113	16740	28341
1114	16753	28323
1115	16767	28306
1116	16783	28292
1117	16796	28275
1118	16811	28259
1119	16825	28243
1120	16843	28233
1121	16859	28218
1122	16873	28202
1123	16888	28187
1124	16902	28170
1125	16915	28152
1126	16929	28135
1127	16942	28117
1128	16956	28099
1129	16969	28082
1130	16982	28064
1131	16996	28047
1132	17008	28028
1133	17022	28010
1134	17034	27991
1135	17048	27974
1136	17062	27957
1137	17076	27940
1138	17088	27920
1139	17102	27903
1140	17115	27885
1141	17126	27864
1142	17138	27844
1143	17150	27825
1144	17164	27808
1145	17177	27789
1146	17189	27770
1147	17204	27755
1148	17217	27736
1149	17230	27719
1150	17244	27702
1151	17260	27688
1152	17276	27674
1153	17290	27659
1154	17305	27644
1155	17317	27623
1156	17329	27604
1157	17341	27585
1158	17353	27564
1159	17367	27548
1160	17382	27533
1161	17398	27520
1162	17412	27503
1163	17426	27487
1164	17440	27471
1165	17454	27454
1166	17473	27445
1167	17493	27438
1168	17506	27420
1169	17519	27402
1170	17531	27382
1171	17545	27366
1172	17559	27349
1173	17573	27332
1174	17585	27314
1175	17598	27295
1176	17610	27276
1177	17625	27260
1178	17637	27241
1179	17650	27223
1180	17662	27204
1181	17677	27189
1182	17689	27169
1183	17703	27152
1184	17716	27135
1185	17729	27117
1186	17743	27101
1187	17757	27084
1188	17771	27068
1189	17786	27053
1190	17799	27035
1191	17813	27019
1192	17826	27000
1193	17838	26982
1194	17850	26963
1195	17864	26945
1196	17878	26929
1197	17894	26916
1198	17906	26897
1199	17919	26879
1200	17934	26864
1201	17947	26846
1202	17959	26827
1203	17971	26808
1204	17985	26791
1205	17999	26774
1206	18012	26757
1207	18024	26738
1208	18037	26720
1209	18049	26701
1210	18062	26683
1211	18074	26665
1212	18087	26647
1213	18101	26630
1214	18114	26613
1215	18127	26594
1216	18141	26578
1217	18156	26563
1218	18170	26547
1219	18184	26531
1220	18196	26512
1221	18211	26497
1222	18223	26479
1223	18236	26460
1224	18249	26443
1225	18263	26426
1226	18276	26408
1227	18290	26392
1228	18304	26376
1229	18317	26359
1230	18331	26343
1231	18344	26325
1232	18360	26312
1233	18375	26296
1234	18389	26280
1235	18401	26262
1236	18415	26246
1237	18427	26227
1238	18440	26209
1239	18452	26191
1240	18467	26175
1241	18480	26158
1242	18494	26141
1243	18507	26125
1244	18520	26107
1245	18534	26091
1246	18547	26074
1247	18562	26059
1248	18579	26047
1249	18593	26030
1250	18605	26012
1251	18619	25995
1252	18632	25978
1253	18646	25962
1254	18658	25944
1255	18672	25926
1256	18687	25912
1257	18701	25896
1258	18717	25882
1259	18733	25869
1260	18746	25852
1261	18761	25837
1262	18774	25820
1263	18788	25804
1264	18802	25789
1265	18817	25773
1266	18831	25758
1267	18844	25740
1268	18858	25724
1269	18870	25706
1270	18884	25689
1271	18897	25672
1272	18911	25656
1273	18926	25641
1274	18941	25626
1275	18955	25610
1276	18967	25592
1277	18982	25577
1278	18994	25559
1279	19008	25543
1280	19025	25530
1281	19038	25513
1282	19052	25497
1283	19066	25480
1284	19079	25464
1285	19091	25446
1286	19104	25428
1287	19117	25411
1288	19132	25396
1289	19147	25381
1290	19160	25364
1291	19173	25347
1292	19186	25330
1293	19200	25313
1294	19223	25309
1295	19236	25292
1296	19251	25277
1297	19266	25263
1298	19280	25247
1299	19293	25229
1300	19306	25212
1301	19318	25193
1302	19330	25175
1303	19343	25158
1304	19356	25141
1305	19370	25125
1306	19385	25110
1307	19398	25093
1308	19412	25077
1309	19428	25064
1310	19443	25049
1311	19458	25035
1312	19474	25022
1313	19489	25007
1314	19505	24993
1315	19517	24974
1316	19529	24956
1317	19542	24939
1318	19558	24926
1319	19574	24912
1320	19586	24895
1321	19602	24881
1322	19614	24863
1323	19627	24846
1324	19641	24829
1325	19655	24813
1326	19668	24796
1327	19682	24781
1328	19695	24764
1329	19709	24747
1330	19722	24730
1331	19734	24712
1332	19748	24697
1333	19761	24680
1334	19777	24665
1335	19789	24647
1336	19803	24631
1337	19815	24613
1338	19829	24598
1339	19842	24581
1340	19858	24567
1341	19871	24550
1342	19883	24532
1343	19895	24514
1344	19908	24496
1345	19921	24479
1346	19933	24461
1347	19946	24444
1348	19964	24434
1349	19977	24417
1350	19991	24401
1351	20003	24382
1352	20016	24366
1353	20030	24350
1354	20042	24332
1355	20056	24315
1356	20073	24304
1357	20086	24287
1358	20099	24270
1359	20112	24253
1360	20125	24236
1361	20139	24220
1362	20153	24205
1363	20167	24188
1364	20180	24172
1365	20195	24158
1366	20208	24140
1367	20221	24123
1368	20234	24107
1369	20247	24090
1370	20259	24072
1371	20275	24059
1372	20288	24041
1373	20302	24026
1374	20314	24008
1375	20327	23990
1376	20339	23973
1377	20351	23955
1378	20366	23940
1379	20382	23927
1380	20395	23910
1381	20409	23894
1382	20423	23879
1383	20437	23863
1384	20451	23847
1385	20464	23830
1386	20478	23815
